fit 365 | relfit 7.3 | nants: 50 | use-phermn #t | drop-amt 11 | decay-amt 7
fit 158 | relfit 3.16 | nants: 50 | use-phermn #f | drop-amt 11 | decay-amt 7
fit 363 | relfit 7.26 | nants: 50 | use-phermn #t | drop-amt 11 | decay-amt 9
fit 146 | relfit 2.92 | nants: 50 | use-phermn #f | drop-amt 11 | decay-amt 9
fit 300 | relfit 6.0 | nants: 50 | use-phermn #t | drop-amt 11 | decay-amt 11
fit 147 | relfit 2.94 | nants: 50 | use-phermn #f | drop-amt 11 | decay-amt 11
fit 338 | relfit 5.633333333333334 | nants: 60 | use-phermn #t | drop-amt 3 | decay-amt 3
fit 139 | relfit 2.316666666666667 | nants: 60 | use-phermn #f | drop-amt 3 | decay-amt 3
fit 329 | relfit 5.483333333333333 | nants: 60 | use-phermn #t | drop-amt 3 | decay-amt 5
fit 154 | relfit 2.566666666666667 | nants: 60 | use-phermn #f | drop-amt 3 | decay-amt 5
fit 261 | relfit 4.35 | nants: 60 | use-phermn #t | drop-amt 3 | decay-amt 7
fit 159 | relfit 2.65 | nants: 60 | use-phermn #f | drop-amt 3 | decay-amt 7
fit 317 | relfit 5.283333333333333 | nants: 60 | use-phermn #t | drop-amt 3 | decay-amt 9
fit 163 | relfit 2.716666666666667 | nants: 60 | use-phermn #f | drop-amt 3 | decay-amt 9
fit 240 | relfit 4.0 | nants: 60 | use-phermn #t | drop-amt 3 | decay-amt 11
fit 171 | relfit 2.85 | nants: 60 | use-phermn #f | drop-amt 3 | decay-amt 11
fit 317 | relfit 5.283333333333333 | nants: 60 | use-phermn #t | drop-amt 5 | decay-amt 3
fit 147 | relfit 2.45 | nants: 60 | use-phermn #f | drop-amt 5 | decay-amt 3
fit 234 | relfit 3.9 | nants: 60 | use-phermn #t | drop-amt 5 | decay-amt 5
fit 145 | relfit 2.4166666666666665 | nants: 60 | use-phermn #f | drop-amt 5 | decay-amt 5
fit 354 | relfit 5.9 | nants: 60 | use-phermn #t | drop-amt 5 | decay-amt 7
fit 171 | relfit 2.85 | nants: 60 | use-phermn #f | drop-amt 5 | decay-amt 7
